Route,Store,Day,Total_Qty,Range,N_Products,Products
Gävle,Coop Karlholm,Sunday,14.0,13~26,13,Baguette/Kyckling Curry: 1 | Baguette/Ost & Skinka: 1 | Baguette/Skagen: 2 | Fralla/Ost & Skinka: 1 | Pastasallad/Bacon & Kyckling: 1 | Pastasallad/Kyckling & Salladsost: 1 | Pastasallad/Kyckling mangocurry: 1 | Sandwich/Bacon & Äggröra: 1 | Sandwich/Clubsandwich: 1 | Sandwich/Räkor: 1 | Wraps/Caesar Kyckling: 1 | Wraps/Kyckling Bacon: 1 | Wraps/Kyckling Curry: 1
Gävle,Coop Skutskär,Sunday,22.0,19~37,18,Baguette/Kyckling Sweet Chili: 1 | Baguette/Ost & Skinka: 1 | Baguette/Skagen: 2 | Fralla/Ost & Skinka: 2 | Fralla/Ost: 1 | Hönökaka/Ost & Skinka: 1 | Hönökaka/Ost: 1 | Pastasallad/Kyckling & Salladsost: 1 | Pastasallad/Kyckling mangocurry: 1 | Räkmacka Liten/Räkmacka liten: 1 | Sandwich/Clubsandwich: 1 | Sandwich/Räkor: 1 | Varmrätt/Teriyakibiff med ris: 1 | Wraps/Caesar Kyckling: 1 | Wraps/Kyckling Bacon: 2 | Wraps/Kyckling Curry: 2 | Wraps/Sweet Chili: 1 | XL Frallor/Ost & Skinka: 1
Gävle,Coop Tierp,Sunday,19.0,17~34,17,Baguette/Ost & Skinka: 1 | Baguette/Salami & Brieost: 1 | Baguette/Skagen: 2 | Fralla/Ost & Skinka: 2 | Fralla/Ost: 1 | Hönökaka/Ost & Skinka: 1 | Hönökaka/Ost: 1 | Pastasallad/Kyckling & Salladsost: 1 | Pastasallad/Kyckling mangocurry: 1 | Räkmacka Liten/Räkmacka liten: 1 | Sandwich/Bacon & Äggröra: 1 | Sandwich/Clubsandwich: 1 | Sandwich/Räkor: 1 | Wraps/Caesar Kyckling: 1 | Wraps/Kyckling Bacon: 1 | XL Frallor/Grovfralla Kalkon & Färskost: 1 | XL Frallor/Ost & Skinka: 1
Gävle,Coop Triangeln,Sunday,17.0,14~26,12,Baguette/Kyckling Curry: 1 | Baguette/Ost & Skinka: 1 | Baguette/Salami & Brieost: 1 | Baguette/Skagen: 1 | Fralla/Ost & Skinka: 3 | Fralla/Ost: 2 | Pastasallad/Kyckling & Salladsost: 1 | Pastasallad/Kyckling mangocurry: 1 | Wraps/Caesar Kyckling: 1 | Wraps/Kyckling Bacon: 1 | Wraps/Kyckling Curry: 2 | Wraps/Sweet Chili: 2
Gävle,Coop Älvkarleby,Sunday,16.0,15~30,15,Baguette/Ost & Skinka: 1 | Baguette/Salami & Brieost: 1 | Baguette/Skagen: 2 | Fralla/Ost & Skinka: 1 | Hönökaka/Ost: 1 | Pastasallad/Bacon & Kyckling: 1 | Pastasallad/Kyckling & Salladsost: 1 | Pastasallad/Kyckling mangocurry: 1 | Sandwich/Clubsandwich: 1 | Sandwich/Kyckling Curry: 1 | Sandwich/Räkor: 1 | Wraps/Caesar Kyckling: 1 | Wraps/Kyckling Bacon: 1 | Wraps/Kyckling Curry: 1 | Wraps/Sweet Chili: 1
Gävle,Coop Österbybruk,Sunday,14.0,13~25,12,Baguette/Salami & Brieost: 1 | Baguette/Skagen: 1 | Fralla/Ost & Skinka: 1 | Hönökaka/Ost & Skinka: 1 | Pastasallad/Kyckling & Salladsost: 2 | Pastasallad/Kyckling mangocurry: 2 | Pastasallad/Räkor: 1 | Sandwich/Bacon & Äggröra: 1 | Sandwich/Clubsandwich: 1 | Sandwich/Kyckling Pestoröra: 1 | Wraps/Caesar Kyckling: 1 | Wraps/Kyckling Curry: 1
Gävle,Drottningskiosken,Sunday,81.0,63~97,20,Baguette/Kyckling Curry: 9 | Baguette/Ost & Skinka: 3 | Baguette/Salami & Brieost: 3 | Baguette/Skagen: 7 | Fralla/Ost & Skinka: 16 | Fralla/Ost: 17 | Pastasallad/Kyckling & Salladsost: 1 | Pastasallad/Kyckling kebab: 1 | Pastasallad/Kyckling mangocurry: 2 | Pastasallad/Räkor: 1 | Sandwich/Bacon & Äggröra: 3 | Sandwich/Clubsandwich: 3 | Sandwich/Kyckling Curry: 2 | Sandwich/Kyckling Pestoröra: 1 | Sandwich/Räkor: 2 | Sandwich/Ägg & Avocadokräm: 1 | Wraps/Caesar Kyckling: 2 | Wraps/Kyckling Bacon: 2 | Wraps/Kyckling Curry: 3 | Wraps/Sweet Chili: 2
Gävle,ICA Ahlgrens Torg,Sunday,10.0,10~20,10,Pastasallad/Kyckling & Salladsost: 1 | Pastasallad/Kyckling mangocurry: 1 | Pastasallad/Räkor: 1 | Sandwich/Clubsandwich: 1 | Sandwich/Kyckling Pestoröra: 1 | Sandwich/Räkor: 1 | Wraps/Caesar Kyckling: 1 | Wraps/Kyckling Bacon: 1 | Wraps/Kyckling Curry: 1 | Wraps/Sweet Chili: 1
Gävle,ICA Alunda,Sunday,9.0,8~12,3,Blandstubbe/Blandstubbe: 3 | Räkstubbe/Räkstubbe: 4 | Stubbe/Ost & Skinkstubbe: 2
Gävle,ICA Spegeln,Sunday,100.0,80~128,29,Baguette/Kyckling Curry: 1 | Baguette/Ost & Skinka: 2 | Baguette/Salami & Brieost: 3 | Baguette/Skagen: 3 | Fralla/Ost & Skinka: 13 | Fralla/Ost: 10 | Grönsallad/Kyckling: 1 | Hönökaka/Ost & Salami: 8 | Hönökaka/Ost & Skinka: 10 | Hönökaka/Ost: 8 | Pastasallad/Bacon & Kyckling: 1 | Pastasallad/Kyckling & Salladsost: 4 | Pastasallad/Kyckling kebab: 1 | Pastasallad/Kyckling mangocurry: 5 | Pastasallad/Ost & Skinka: 2 | Pastasallad/Räkor: 2 | Sandwich/Clubsandwich: 1 | Sandwich/Kyckling Pestoröra: 1 | Sandwich/Räkor: 1 | Varmrätt/Cevapcici med bulgur: 1 | Varmrätt/Kycklingspett med ris: 1 | Varmrätt/Teriyakikycklingfile med basmatiris: 1 | Wraps/Caesar Kyckling: 2 | Wraps/Kyckling Bacon: 1 | Wraps/Kyckling Curry: 1 | Wraps/Sweet Chili: 1 | XL Frallor/Grovfralla Kalkon & Färskost: 3 | XL Frallor/Ost & Skinka: 7 | XL Frallor/Ost: 5
