Day,Type,Product,Qty,Range,Stores
Sunday,Fralla,Ost & Skinka,376.0,301~476,122
Sunday,Pastasallad,Kyckling mangocurry,351.0,279~460,131
Sunday,Hönökaka,Ost & Skinka,305.0,252~407,108
Sunday,Pastasallad,Kyckling & Salladsost,280.0,216~374,125
Sunday,Hönökaka,Ost,276.0,233~383,115
Sunday,Fralla,Ost,272.0,217~367,123
Sunday,Wraps,Kyckling Curry,247.0,193~347,129
Sunday,Hönökaka,Ost & Salami,224.0,181~302,85
Sunday,Wraps,Caesar Kyckling,222.0,180~329,126
Sunday,Wraps,Kyckling Bacon,214.0,173~311,121
Sunday,Baguette,Salami & Brieost,187.0,152~280,119
Sunday,Wraps,Sweet Chili,187.0,153~281,115
Sunday,XL Frallor,Ost & Skinka,178.0,147~254,85
Sunday,Baguette,Skagen,169.0,132~256,117
Sunday,Pastasallad,Räkor,168.0,135~258,117
Sunday,Sandwich,Räkor,149.0,119~234,116
Sunday,Sandwich,Clubsandwich,136.0,112~223,111
Sunday,XL Frallor,Grovfralla Kalkon & Färskost,131.0,115~210,85
Sunday,Sandwich,Kyckling Curry,127.0,110~214,109
Sunday,Baguette,Ost & Skinka,111.0,94~191,93
Sunday,XL Frallor,Ost,101.0,84~165,78
Sunday,Pastasallad,Bacon & Kyckling,96.0,82~164,80
Sunday,Pastasallad,Ost & Skinka,94.0,78~154,75
Sunday,Baguette,Kyckling Curry,92.0,80~172,99
Sunday,Sandwich,Bacon & Äggröra,85.0,71~141,73
Sunday,Sandwich,Kyckling Pestoröra,71.0,66~143,80
Sunday,Pastasallad,Kyckling kebab,61.0,52~110,60
Sunday,Sandwich,Ägg & Avocadokräm,55.0,49~113,77
Sunday,Grönsallad,Kyckling,49.0,43~87,44
Sunday,Baguette,Kyckling Sweet Chili,47.0,43~98,58
Sunday,Grönsallad,Caesarsallad,46.0,41~84,47
Sunday,Wraps,Wrap Curry Oumph!,31.0,26~52,26
Sunday,Pastasallad,Falafel,28.0,24~54,33
Sunday,Wraps,Kycklingsallad Olivie,28.0,24~47,27
Sunday,Glutenfri Frallor,Glutenfri Pumpafralla Kalkon & Färskost(endast söndagsbeställning),20.0,18~42,24
Sunday,Räkmacka Liten,Räkmacka liten,17.0,16~30,13
Sunday,Glutenfri Frallor,Glutenfri Ost & Skinka(endast söndagsbeställning),14.0,13~39,24
Sunday,Varmrätt,Cevapcici med bulgur,8.0,8~35,41
Sunday,Glutenfri Frallor,Glutenfri Ost(endast söndagsbeställning),7.0,7~21,17
Sunday,Baguette,Kycklingsallad Olivie,6.0,5~12,10
Sunday,Varmrätt,Teriyakikycklingfile med basmatiris,6.0,6~29,33
Sunday,Räkstubbe,Räkstubbe,5.0,4~10,6
Sunday,Varmrätt,Teriyakibiff med ris,4.0,4~27,34
Sunday,Blandstubbe,Blandstubbe,3.0,3~6,3
Sunday,Varmrätt,Kyckling-och böngryta,3.0,3~17,22
Sunday,Varmrätt,Kycklingspett med ris,3.0,3~27,36
Sunday,Stubbe,Ost & Skinkstubbe,2.0,2~3,1
Sunday,Varmrätt,Kycklingkebab med bulgur,1.0,1~4,13
